Drive_bh:7250 income:1011.40 outcome:251.31 profit:760.10
Drive_bh:7251 income:1134.27 outcome:262.04 profit:872.23
Drive_bh:7252 income:793.72 outcome:176.26 profit:617.47
Drive_bh:7253 income:1155.72 outcome:241.93 profit:913.79
Drive_bh:7254 income:555.56 outcome:183.02 profit:372.55
Drive_bh:7255 income:1461.64 outcome:387.24 profit:1074.40
Drive_bh:7256 income:1185.43 outcome:266.90 profit:918.52
Drive_bh:7257 income:1378.70 outcome:281.78 profit:1096.91
Drive_bh:7258 income:644.52 outcome:181.47 profit:463.04
Drive_bh:7259 income:960.63 outcome:186.05 profit:774.58
Drive_bh:7260 income:1198.12 outcome:250.30 profit:947.82
Drive_bh:7261 income:1220.87 outcome:255.86 profit:965.01
Drive_bh:7262 income:954.05 outcome:214.13 profit:739.92
Drive_bh:7263 income:1160.28 outcome:351.26 profit:809.01
Drive_bh:7264 income:1146.91 outcome:320.69 profit:826.22
Drive_bh:7265 income:928.74 outcome:171.97 profit:756.78
Drive_bh:7266 income:743.25 outcome:176.85 profit:566.40
Drive_bh:7267 income:56.47 outcome:10.65 profit:45.82
Drive_bh:7268 income:1215.87 outcome:263.53 profit:952.34
Drive_bh:7269 income:1213.01 outcome:259.99 profit:953.02
Drive_bh:7270 income:998.85 outcome:226.63 profit:772.22
Drive_bh:7271 income:443.48 outcome:89.37 profit:354.12
Drive_bh:7272 income:1195.38 outcome:256.17 profit:939.21
Drive_bh:7273 income:884.07 outcome:182.53 profit:701.53
Drive_bh:7274 income:0.00 outcome:69.70 profit:-69.70
Drive_bh:7275 income:1053.70 outcome:256.35 profit:797.35
Drive_bh:7276 income:1227.22 outcome:262.76 profit:964.46
Drive_bh:7277 income:844.51 outcome:209.94 profit:634.57
Drive_bh:7278 income:853.97 outcome:179.05 profit:674.92
Drive_bh:7279 income:929.39 outcome:260.91 profit:668.48
Drive_bh:7280 income:1101.54 outcome:232.42 profit:869.12
Drive_bh:7281 income:1511.05 outcome:304.29 profit:1206.76
Drive_bh:7282 income:1384.77 outcome:380.20 profit:1004.57
Drive_bh:7283 income:1643.44 outcome:365.52 profit:1277.92
Drive_bh:7284 income:1183.17 outcome:214.92 profit:968.24
Drive_bh:7285 income:1232.58 outcome:291.41 profit:941.17
Drive_bh:7286 income:694.75 outcome:187.11 profit:507.64
Drive_bh:7287 income:1212.07 outcome:280.60 profit:931.47
Drive_bh:7288 income:1378.03 outcome:280.25 profit:1097.78
Drive_bh:7289 income:936.95 outcome:194.29 profit:742.66
Drive_bh:7290 income:1171.17 outcome:261.56 profit:909.61
Drive_bh:7291 income:805.29 outcome:286.84 profit:518.45
Drive_bh:7292 income:1559.97 outcome:374.92 profit:1185.05
Drive_bh:7293 income:180.70 outcome:68.03 profit:112.67
Drive_bh:7294 income:1049.56 outcome:279.07 profit:770.50
Drive_bh:7295 income:1470.29 outcome:298.82 profit:1171.47
Drive_bh:7296 income:1192.10 outcome:265.95 profit:926.15
Drive_bh:7297 income:1503.06 outcome:305.76 profit:1197.30
Drive_bh:7298 income:1218.77 outcome:264.78 profit:954.00
Drive_bh:7299 income:802.99 outcome:187.57 profit:615.41
Drive_bh:7300 income:884.68 outcome:230.45 profit:654.23
Drive_bh:7301 income:1381.18 outcome:324.25 profit:1056.93
Drive_bh:7302 income:930.03 outcome:225.06 profit:704.97
Drive_bh:7303 income:1538.16 outcome:381.53 profit:1156.63
Drive_bh:7304 income:290.85 outcome:102.60 profit:188.25
Drive_bh:7305 income:1040.37 outcome:317.46 profit:722.90
Drive_bh:7306 income:432.44 outcome:121.37 profit:311.07
Drive_bh:7307 income:411.73 outcome:136.92 profit:274.80
Drive_bh:7308 income:1201.91 outcome:286.09 profit:915.82
Drive_bh:7309 income:792.50 outcome:245.58 profit:546.93
Drive_bh:7310 income:1353.38 outcome:267.16 profit:1086.22
Drive_bh:7311 income:409.63 outcome:128.71 profit:280.93
Drive_bh:7312 income:1262.56 outcome:274.02 profit:988.54
Drive_bh:7313 income:422.59 outcome:125.44 profit:297.15
Drive_bh:7314 income:986.20 outcome:208.93 profit:777.27
Drive_bh:7315 income:754.95 outcome:206.07 profit:548.88
Drive_bh:7316 income:877.31 outcome:244.37 profit:632.95
Drive_bh:7317 income:1148.51 outcome:326.42 profit:822.09
Drive_bh:7318 income:1161.02 outcome:217.52 profit:943.49
Drive_bh:7319 income:2279.49 outcome:497.52 profit:1781.97
Drive_bh:7320 income:1080.20 outcome:266.61 profit:813.59
Drive_bh:7321 income:1347.06 outcome:304.88 profit:1042.18
Drive_bh:7322 income:910.55 outcome:202.69 profit:707.86
Drive_bh:7323 income:1083.52 outcome:265.59 profit:817.93
Drive_bh:7324 income:1455.00 outcome:342.02 profit:1112.98
Drive_bh:7325 income:1064.06 outcome:194.97 profit:869.09
Drive_bh:7326 income:1085.54 outcome:216.13 profit:869.40
Drive_bh:7327 income:963.47 outcome:209.83 profit:753.64
Drive_bh:7328 income:926.72 outcome:218.41 profit:708.31
Drive_bh:7329 income:980.31 outcome:230.70 profit:749.61
Drive_bh:7330 income:1224.15 outcome:298.22 profit:925.93
Drive_bh:7331 income:1128.97 outcome:257.66 profit:871.32
Drive_bh:7332 income:912.14 outcome:222.79 profit:689.34
Drive_bh:7333 income:1212.63 outcome:259.53 profit:953.10
Drive_bh:7334 income:697.26 outcome:138.43 profit:558.83
Drive_bh:7335 income:847.68 outcome:245.51 profit:602.17
Drive_bh:7336 income:786.10 outcome:149.15 profit:636.95
Drive_bh:7337 income:1002.51 outcome:206.74 profit:795.77
Drive_bh:7338 income:1080.90 outcome:222.58 profit:858.31
Drive_bh:7339 income:303.35 outcome:71.34 profit:232.01
Drive_bh:7340 income:1050.52 outcome:253.95 profit:796.57
Drive_bh:7341 income:1058.70 outcome:253.30 profit:805.40
Drive_bh:7342 income:930.11 outcome:198.29 profit:731.82
Drive_bh:7343 income:909.42 outcome:215.70 profit:693.72
Drive_bh:7344 income:754.88 outcome:197.46 profit:557.42
Drive_bh:7345 income:1222.42 outcome:298.05 profit:924.37
Drive_bh:7346 income:854.93 outcome:209.64 profit:645.30
Drive_bh:7347 income:997.44 outcome:266.97 profit:730.47
Drive_bh:7348 income:437.58 outcome:120.19 profit:317.39
Drive_bh:7349 income:1227.38 outcome:262.01 profit:965.37
Drive_bh:7350 income:842.78 outcome:235.39 profit:607.38
Drive_bh:7351 income:1344.64 outcome:371.17 profit:973.47
Drive_bh:7352 income:1554.13 outcome:405.07 profit:1149.07
Drive_bh:7353 income:781.95 outcome:162.24 profit:619.70
Drive_bh:7354 income:969.71 outcome:248.90 profit:720.82
Drive_bh:7355 income:1174.48 outcome:266.84 profit:907.64
Drive_bh:7356 income:1217.54 outcome:367.41 profit:850.13
Drive_bh:7357 income:1145.93 outcome:261.21 profit:884.72
Drive_bh:7358 income:928.58 outcome:227.56 profit:701.02
Drive_bh:7359 income:1146.25 outcome:251.62 profit:894.64
Drive_bh:7360 income:265.86 outcome:76.83 profit:189.02
Drive_bh:7361 income:1282.99 outcome:267.56 profit:1015.43
Drive_bh:7362 income:906.02 outcome:214.39 profit:691.64
Drive_bh:7363 income:1778.49 outcome:444.96 profit:1333.53
Drive_bh:7364 income:1394.98 outcome:356.80 profit:1038.18
Drive_bh:7365 income:1454.02 outcome:311.01 profit:1143.01
Drive_bh:7366 income:1394.99 outcome:266.94 profit:1128.06
Drive_bh:7367 income:749.05 outcome:224.38 profit:524.68
Drive_bh:7368 income:1366.85 outcome:326.94 profit:1039.91
Drive_bh:7369 income:1011.25 outcome:214.83 profit:796.43
Drive_bh:7370 income:941.01 outcome:188.04 profit:752.97
Drive_bh:7371 income:1079.97 outcome:287.28 profit:792.68
Drive_bh:7372 income:1148.12 outcome:304.86 profit:843.26
Drive_bh:7373 income:1182.32 outcome:255.38 profit:926.94
Drive_bh:7374 income:838.77 outcome:219.11 profit:619.66
Drive_bh:7375 income:1550.63 outcome:428.32 profit:1122.31
Drive_bh:7376 income:1309.94 outcome:289.25 profit:1020.69
Drive_bh:7377 income:1547.95 outcome:372.07 profit:1175.88
Drive_bh:7378 income:1023.39 outcome:313.15 profit:710.24
Drive_bh:7379 income:1530.73 outcome:407.88 profit:1122.85
Drive_bh:7380 income:64.38 outcome:28.12 profit:36.27
Drive_bh:7381 income:1159.13 outcome:308.71 profit:850.42
Drive_bh:7382 income:1564.99 outcome:386.36 profit:1178.63
Drive_bh:7383 income:1073.29 outcome:265.88 profit:807.41
Drive_bh:7384 income:1007.11 outcome:251.00 profit:756.11
Drive_bh:7385 income:426.41 outcome:107.72 profit:318.69
