drive_bh,time0,time1,time2,time3
(7231,700.84,985.01,991.78,958.52)
(7232,778.13,748.62,670.91,860.49)
(7233,818.92,1029.20,929.06,970.78)
(7234,896.73,918.48,813.06,785.33)
(7235,521.31,491.57,722.91,1026.76)
(7236,551.90,1130.61,814.00,1173.35)
(7237,539.87,941.79,819.13,1033.35)
(7238,295.37,816.72,788.38,710.34)
(7239,25.90,681.66,1016.30,741.08)
(7240,565.00,748.95,1063.03,741.57)
(7241,755.85,784.34,823.95,840.52)
(7242,956.32,818.75,725.51,821.63)
(7243,524.91,841.61,927.15,956.88)
(7244,336.17,792.02,914.81,839.67)
(7245,1065.76,1000.65,1086.18,856.01)
(7246,823.70,703.79,662.83,798.34)
(7247,1014.18,845.50,842.27,831.60)
(7248,660.90,1074.43,354.07,905.43)
(7249,503.78,1178.03,729.15,929.52)
(7250,661.28,845.71,673.65,740.21)
(7251,922.68,763.76,203.32,1065.69)
(7252,524.96,792.74,1058.81,882.53)
(7253,367.19,655.37,951.42,882.56)
(7254,903.38,1049.16,755.64,693.09)
(7255,282.14,658.67,823.23,0.00)
(7256,541.74,618.28,842.78,870.67)
(7257,629.37,885.27,853.29,1034.01)
(7258,525.23,166.50,882.99,787.46)
(7259,798.48,846.13,943.68,434.04)
(7260,907.40,724.22,824.00,829.66)
(7261,454.04,722.50,753.78,874.36)
(7262,385.96,793.55,786.76,821.72)
(7263,884.30,972.95,666.19,894.95)
(7264,860.07,731.19,786.78,56.08)
(7265,661.88,1125.12,801.57,801.91)
(7266,960.01,1098.46,899.31,939.75)
(7267,0.00,0.00,0.00,392.61)
(7268,698.15,960.32,778.81,813.11)
(7269,901.11,644.12,945.28,850.65)
(7270,944.73,1014.42,812.18,845.09)
(7271,963.48,821.11,827.08,938.46)
(7272,999.69,759.35,816.50,733.51)
(7273,534.18,882.88,909.74,774.73)
(7274,0.00,667.36,1115.72,947.51)
(7275,832.24,366.26,1067.36,802.79)
(7276,1017.37,956.07,991.19,804.55)
(7277,787.99,862.21,850.22,919.11)
(7278,1017.81,912.00,702.74,843.56)
(7279,904.84,935.65,745.66,786.12)
(7280,833.28,1345.15,755.11,888.08)
(7281,329.35,831.74,973.33,754.57)
(7282,892.46,930.60,722.57,869.43)
(7283,761.19,1015.26,655.48,721.60)
(7284,823.72,695.21,991.90,986.53)
(7285,694.76,790.69,826.48,862.82)
(7286,892.18,726.29,868.95,936.33)
(7287,698.39,1233.89,913.23,845.07)
(7288,264.01,763.60,845.46,810.28)
(7289,970.43,902.01,879.28,780.58)
(7290,1016.26,965.79,850.44,667.27)
(7291,711.70,859.73,789.71,1002.40)
(7292,857.96,651.01,1061.83,688.63)
(7293,555.81,704.80,1050.84,842.39)
(7294,538.74,826.00,705.93,904.47)
(7295,920.25,836.60,927.15,802.03)
(7296,880.82,935.45,825.72,846.15)
(7297,1028.09,720.00,917.64,846.28)
(7298,643.76,863.93,937.44,747.50)
(7299,902.60,1043.09,779.89,788.26)
(7300,503.84,855.47,853.11,727.84)
(7301,778.71,928.73,734.07,934.43)
(7302,1065.51,859.40,733.72,840.24)
(7303,818.50,713.36,826.45,926.88)
(7304,635.14,717.94,763.26,539.54)
(7305,521.40,678.93,887.87,920.72)
(7306,1028.07,1111.25,941.91,703.45)
(7307,428.11,881.75,672.81,889.87)
(7308,645.31,899.80,862.65,829.34)
(7309,901.97,707.46,650.29,777.39)
(7310,561.80,973.38,853.19,948.82)
(7311,745.72,625.44,67.75,809.71)
(7312,892.36,487.14,820.24,1019.21)
(7313,331.31,821.09,707.14,717.76)
(7314,710.27,801.32,847.65,789.91)
(7315,385.07,780.45,877.39,707.49)
(7316,277.75,1125.13,686.38,908.58)
(7317,706.34,940.01,765.49,696.53)
(7318,524.85,625.20,781.19,853.94)
(7319,580.56,722.90,899.04,825.41)
(7320,891.85,873.48,1102.63,808.07)
(7321,1013.99,936.05,769.92,722.62)
(7322,900.09,1233.86,935.02,897.99)
(7323,793.66,857.46,785.74,786.90)
