  Drive_bh,income,outcome,profit
8636,1328.28,422.84,905.44
8637,776.06,213.12,562.95
8638,845.19,176.17,669.01
8639,879.33,198.85,680.48
8640,987.78,235.31,752.47
8641,813.47,228.42,585.05
8642,1040.12,243.6,796.52
8643,1299.17,301.46,997.72
8644,1180.42,329.64,850.77
8645,935.39,235.28,700.11
8646,523.06,149.27,373.79
8647,1108.62,222.33,886.28
8648,1063.27,283.1,780.17
8649,961.01,298.7,662.31
8650,1044.09,241.65,802.45
8651,1239.87,290.74,949.13
8652,182.77,80.26,102.51
8653,1134.13,277.92,856.22
8654,458.02,137.36,320.66
8655,995.06,223.14,771.93
8656,791.65,146.01,645.64
8657,1026.12,211.18,814.94
8658,938.03,219.75,718.28
8659,522.67,196.07,326.6
8660,442.12,166.21,275.91
8661,1525.93,390.41,1135.52
8662,846.74,207.22,639.52
8663,1328.5,323.99,1004.51
8664,1093.62,262.93,830.69
8665,790.04,204.99,585.05
8666,997.83,215.09,782.75
8667,1376.39,339.15,1037.24
8668,1112.11,295.34,816.77
8669,1277.83,280.1,997.73
8670,1265.64,344.7,920.94
8671,1093.5,231.11,862.39
8672,1031.97,219.2,812.77
8673,765.43,191.76,573.67
8674,905.64,233.51,672.13
8675,1371.01,293.3,1077.7
8676,697.96,176.06,521.9
8677,672.9,161.47,511.43
8678,613.2,124.63,488.57
8679,960.19,269.51,690.69
8680,968.41,259.49,708.93
8681,797.15,167.53,629.62
8682,1073.57,268.19,805.38
8683,571.88,132.05,439.83
8684,983.52,221.33,762.19
8685,917.83,266.66,651.17
8686,1300.17,268.11,1032.05
8687,1088.65,223.07,865.58
8688,1261.48,299.3,962.18
8689,1372.35,306.23,1066.12
8690,523.69,115.38,408.32
8691,1304.93,296.9,1008.04
8692,1286.76,291.4,995.36
8693,1099.81,278.18,821.63
8694,1004.35,257,747.35
8695,957.58,216.02,741.57
8696,854.78,197.59,657.19
8697,512.36,124.26,388.11
8698,925.98,296.01,629.97
8699,714.85,243.87,470.99
8700,1546.09,396.6,1149.48
8701,1804.45,460.71,1343.74
8702,746.89,157.81,589.08
8703,1166.22,238.39,927.82
8704,784.9,181.23,603.67
8705,1134.84,249.63,885.21
8706,980.5,278.47,702.03
8707,483.79,146.52,337.26
8708,466.12,141.01,325.1
8709,725.81,173.6,552.21
8710,1221.97,306.51,915.47
8711,742.63,191.19,551.45
8712,1524.33,305.28,1219.05
8713,1421.95,345.04,1076.91
8714,1428.75,315.94,1112.81
8715,890.21,182.62,707.59
8716,962.48,256.27,706.22
8717,1331.87,270.23,1061.64
8718,773.72,288.53,485.2
8719,156.44,50.23,106.22
8720,552.5,130.15,422.35
8721,790.33,216.54,573.79
8722,464.78,127.53,337.25
8723,842.99,206.49,636.5
8724,459.22,95.91,363.3
8725,871.83,236.83,635
8726,807.09,192.26,614.83
8727,739.99,231.44,508.55
8728,1411.11,414.13,996.98
8729,1368.1,365.39,1002.7
8730,1481.11,335.6,1145.51
8731,1435.57,317.98,1117.59
8732,1018.2,255.72,762.49
8733,1093.98,301.39,792.59
8734,939.44,265.32,674.13
8735,985.85,274.03,711.82
8736,484.78,139.98,344.79
8737,522.67,148.46,374.21
8738,737.62,147.84,589.78
8739,1251.29,383.01,868.27
8740,864.73,297.82,566.92
8741,1196.55,289.19,907.36
8742,767.1,144.75,622.35
8743,925.18,245.28,679.9
